id_frente,coesao_media,titulo
421,0.9592,Frente Parlamentar Mista em Defesa dos Professores
53393,0.9536,Frente Parlamentar em Defesa da Indústria Brasileira de Bebidas
454,0.9503,Frente Parlamentar da Silvicultura
53358,0.9501,Frente Parlamentar Mista em Defesa das Populações Extrativistas e dos Povos e Comunidades Tradicionais.
53427,0.949,Frente Parlamentar Mista para o Desenvolvimento de Assuntos da Faixa de Fronteira.
53425,0.9371,Frente Parlamentar pela Valorização das Universidades Federais.
53433,0.9349,Frente Parlamentar em Defesa dos Agentes Municipais de Trânsito.
53389,0.9341,Frente Parlamentar Mista em Defesa da Indústria Marítima Brasileira
423,0.9334,Frente Parlamentar Mista Intersetorial em Defesa das Políticas de Adoção e da Convivência Familiar e Comunitária
53406,0.9321,Frente Parlamentar Mista em Defesa das pequenas centrais hidrelétricas e microgeração
53417,0.931,Frente Parlamentar pela Autossuficiência do Potássio
53415,0.9283,Frente Parlamentar pela Valorização do Setor Sucroenergético
435,0.9271,Frente Parlamentar em Defesa dos Servidores Administrativos do Serviço Público
53361,0.925,Frente Parlamentar Mista em Defesa da Enfermagem
455,0.9245,Frente Parlamentar Mista em Defesa da Saúde da Mulher
53437,0.9234,Frente Parlamentar em Defesa da Regulamentação de Profissões do Congresso Nacional
484,0.92,Frente Parlamentar em Defesa da Previdência Social Rural
53390,0.9196,Frente Parlamentar Mista em Defesa dos Canais de TV Comunitários.
53436,0.919,Frente Parlamentar Mista pela Federalização da Educação Básica
53432,0.9189,Frente Parlamentar pela Moagem e Consumo do Trigo.
360,0.9186,Frente Parlamentar Mista da Micro e Pequena Empresa
53405,0.9181,Frente Parlamentar em Defesa dos proprietários e condutores de veículos sobre duas rodas
351,0.9166,Frente Parlamentar da Segurança Pública
53426,0.9161,Frente Parlamentar de Políticas em Prol dos Taxistas.
371,0.9144,Frente Parlamentar Mista de Promoção e Defesa dos Direitos da Pessoa Idosa
53399,0.9131,Frente Parlamentar da Luta Contra a Endometriose
53391,0.9127,Frente Parlamentar pelo Desenvolvimento da Apicultura e Cajucultura - FPDAC
53402,0.9116,Frente Parlamentar de Combate ao Câncer
53374,0.9116,Frente Parlamentar em Defesa da Lavoura Cacaueira
54466,0.9098,Frente Parlamentar Mista pela Reestatização da Eletrobras
434,0.9093,Frente Parlamentar Mista em Defesa do Segmento de Hortifrutiflorigranjeiros
53385,0.909,Frente Parlamentar do Congresso Nacional de apoio aos Produtores de Algodão e as Indústrias do Segmento
53424,0.9084,Frente Parlamentar Mista do Mercado Imobiliário
347,0.9077,Frente Parlamentar Ambientalista
54318,0.9073,Frente Parlamentar Mista em Defesa dos Direitos dos Povos Indígenas
53372,0.9071,Frente Parlamentar pelo Desenvolvimento da Agroecologia e Produção Orgânica.
53534,0.9067,Frente Parlamentar Mista em Defesa do Ensino Técnico e Profissionalizante
53483,0.9055,Frente Parlamentar Mista em Defesa das Políticas Públicas de Juventude
426,0.9053,
