id_frente,hhi,n_partidos,total_membros,indice_diversidade,titulo,id_legislatura
53748,0.062340210887080055,25,269,0.9377,Frente Parlamentar em Defesa dos Direitos dos Autistas,55
53817,0.06279618140610335,25,209,0.9372,Frente Parlamentar Mista pelo Fortalecimento dos Legislativos Municipais,55
53576,0.06422018348623855,24,218,0.9358,Frente Parlamentar em Defesa da Cafeicultura,55
53818,0.0647443263430049,25,236,0.9353,Frente Parlamentar Mista em Defesa da Integridade e Prioridade Absoluta da Pessoa Idosa,55
53843,0.06467926537130689,25,221,0.9353,Frente Parlamentar Mista pela contagem pública dos votos,55
53648,0.065,25,220,0.935,Frente Parlamentar Mista em Defesa da Bolsa de Estudo,55
53474,0.06506186347950511,23,218,0.9349,Frente Parlamentar Mista em Defesa da Energia Alternativa,55
53772,0.06507041620808159,25,211,0.9349,Frente Parlamentar Mista por um Brasil sem Jogos de Azar,55
53515,0.06525,24,200,0.9348,Frente Parlamentar em Defesa da Cadeia Produtiva da Reciclagem,55
53791,0.06586687818097693,25,246,0.9341,Frente Parlamentar Mista de Prevenção à Violência,55
53706,0.06599173553719008,24,220,0.934,Frente Parlamentar pela Renegociação da Dívida dos Estados e do Distrito Federal,55
53753,0.0660292654517217,23,203,0.934,Frente Parlamentar Mista pelo Fortalecimento das Relações Comerciais Brasil-Texas,55
53794,0.06621899813743752,24,202,0.9338,Frente Parlamentar em Defesa da Empresa Brasileira de Infraestrutura Aeroportuária (Infraero) 100% Pública,55
53805,0.06627628426936386,25,221,0.9337,Frente Parlamentar da Hemofilia,55
53561,0.06658265070363369,25,207,0.9334,Frente Parlamentar Mista para o Fortalecimento da Gestão Pública,55
53645,0.06655286269400958,25,211,0.9334,Frente Parlamentar Mista de Manutenção das Unidades de Saúde,55
53658,0.06684174642054493,23,199,0.9332,Frente Parlamentar Evangélica do Congresso Nacional,55
53471,0.0673294592639268,24,207,0.9327,Frente Parlamentar em Defesa do Trânsito Seguro,55
53546,0.0673219491878384,24,245,0.9327,Frente Parlamentar Mista do Envelhecimento Ativo,55
53643,0.06727230010180907,24,226,0.9327,Frente Parlamentar em Apoio a Cadeia Produtiva do Leite e seus Derivados,55
53806,0.06729467401460687,24,229,0.9327,Frente Parlamentar em prol do CONLESTE (Consórcio Intermunicipal de Desenvolvimento do Leste Fluminense),55
53567,0.06737648346098814,25,218,0.9326,Frente Parlamentar em Defesa da Propriedade Intelectual e de Combate à Pirataria,55
53573,0.06753883136094674,25,208,0.9325,Frente Parlamentar Mista de Combate ao Roubo de Cargas,55
53524,0.0677086261501846,24,231,0.9323,Frente Parlamentar em Defesa dos Agentes Comunitários de Saúde e dos Agentes de Combate às Endemias,55
53512,0.06775513185769595,25,234,0.9322,Frente Parlamentar Mista do Biodiesel,55
53667,0.06776239907727798,23,204,0.9322,Frente Parlamentar em prol da recuperação da BR-319,55
53844,0.06782498968671892,24,203,0.9322,Frente Parlamentar para a criação de Estímulos Econômicos para a Preservação Ambiental,55
53622,0.06788149145694808,24,218,0.9321,Frente Parlamentar em Defesa da Capoeira,55
53814,0.06792534722222222,24,192,0.9321,Frente Parlamentar Mista em Defesa da Eletromobilidade Brasileira,55
53793,0.06803821617166754,25,362,0.932,Frente Parlamentar da Odontologia,55
53509,0.06814049586776857,24,220,0.9319,Frente Parlamentar Mista de Combate ao Câncer,55
53555,0.06808343171979533,22,231,0.9319,Frente Parlamentar Mista em Defesa dos Aposentados e Pensionistas,55
53621,0.06807256235827666,23,210,0.9319,Frente Parlamentar Mista de Apoio aos Agentes Comunitários de Saúde e Agentes de Combate às Endemias,55
53812,0.06813979289940829,24,208,0.9319,Frente Parlamentar Mista Pela Causa da Psoríase e Artrite Psoriásica,55
53725,0.06820415879017015,23,230,0.9318,Frente Parlamentar Mista Pela Auditoria da Dívida Pública com Participação Popular,55
53754,0.06816961889425659,24,207,0.9318,Frente Parlamentar Brasil - Índia,55
53533,0.06828821324448148,24,245,0.9317,Frente Parlamentar de Apoio à Indústria da Construção Civil e do Mercado Imobiliário,55
53655,0.06825992228386606,24,211,0.9317,Frente Parlamentar Mista para Investimentos Federais na Educação,55
53796,0.06832592592592593,25,225,0.9317,Frente Parlamentar Mista pela Causa do Diabetes,55
53574,0.06839319470699436,22,230,0.9316,Frente Parlamentar Mista em Defesa das Vítimas de Violência,55
53691,0.06845172560590713,25,261,0.9315,Frente Parlamentar da Avicultura,55
53756,0.06854058833281142,24,233,0.9315,Frente Parlamentar em Defesa da Reestruturação do Programa Farmácia Popular,55
53545,0.06860874284413787,24,239,0.9314,Frente Parlamentar de Comunicação - FreCom,55
53833,0.06859522244137628,25,234,0.9314,Frente Parlamentar em Defesa da Saúde Preventiva,55
53516,0.06873962791510174,25,214,0.9313,
