id_frente,titulo,id_legislatura,tema_resumo,id_deputado,nome_deputado,sigla_partido,sigla_uf,uf_deputado,titulo_membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,73778,Luiz Carlos Hauly,PODE,PR,PR,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,74253,Julio Lopes,PP,RJ,RJ,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,74856,Laura Carneiro,PSD,RJ,RJ,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,141555,Vinicius Carvalho,PL,SP,SP,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,178966,Geovania de Sá,REPUBLICANOS,SC,SC,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,180214,Pastor Diniz,UNIÃO,RR,RR,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,204353,Aline Gurgel,UNIÃO,AP,AP,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,204409,Daniel Trzeciak,PSDB,RS,RS,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,205865,Reinhold Stephanes,PL,PR,,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,220594,Coronel Assis,PL,MT,MT,Membro
55699,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrad,220690,Capitão Alden,PL,BA,BA,Membro
55644,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,57,Frente Parlamentar para o Fortalecimento da Indústria Ferrov,73801,Renildo Calheiros,PCDOB,PE,PE,Membro
