id_deputado,nome,sigla_partido,sigla_uf,eventos_presentes,total_votacoes_participadas,ausencias_votacao,perc_presenca_eventos,perc_participacao_votacoes,score_engajamento,percentil_engajamento,nivel_engajamento
178993,Carlos Henrique Gaguim,UNIÃO,TO,99,11,0,12.81,1.38,0.0595,100.0,ALTO
220529,Gilson Daniel,PODE,ES,62,13,0,8.02,1.63,0.0419,99.8,ALTO
160598,Flávia Morais,MDB,GO,61,9,0,7.89,1.13,0.0383,99.6,ALTO
220612,Bebeto,PP,RJ,45,13,0,5.82,1.63,0.0331,99.4,ALTO
220654,Delegado Paulo Bilynskyj,PL,SP,38,17,0,4.92,2.13,0.0325,99.2,ALTO
204407,Fernanda Melchionna,PSOL,RS,45,12,0,5.82,1.5,0.0323,99.0,ALTO
160575,Erika Kokay,PT,DF,42,12,0,5.43,1.5,0.0307,98.8,ALTO
220574,Cabo Gilberto Silva,PL,PB,44,10,0,5.69,1.25,0.0303,98.6,ALTO
74374,Geraldo Resende,UNIÃO,MS,40,12,0,5.17,1.5,0.0297,98.4,ALTO
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,44,9,0,5.69,1.13,0.0295,98.0,ALTO
204398,Felipe Francischini,PODE,PR,38,13,0,4.92,1.63,0.0295,98.0,ALTO
220591,Meire Serafim,UNIÃO,AC,39,12,0,5.05,1.5,0.0292,97.7,ALTO
220618,Sargento Portugal,PODE,RJ,39,12,0,5.05,1.5,0.0292,97.7,ALTO
220543,Ricardo Ayres,REPUBLICANOS,TO,30,18,0,3.88,2.25,0.029,97.5,ALTO
74856,Laura Carneiro,PSD,RJ,35,14,0,4.53,1.75,0.0286,97.3,ALTO
220547,Marcos Pollon,PL,MS,36,13,0,4.66,1.63,0.0284,97.1,ALTO
204426,Carlos Veras,PT,PE,37,12,0,4.79,1.5,0.0282,96.9,ALTO
220658,Luiz Gastão,PSD,CE,39,9,0,5.05,1.13,0.027,96.7,ALTO
104552,Socorro Neri,PP,AC,36,11,0,4.66,1.38,0.0269,96.1,ALTO
133439,André Figueiredo,PDT,CE,36,11,0,4.66,1.38,0.0269,96.1,ALTO
220588,Roberto Duarte,REPUBLICANOS,AC,26,18,0,3.36,2.25,0.0269,96.1,ALTO
204462,Chris Tonietto,PL,RJ,27,17,0,3.49,2.13,0.0267,95.7,ALTO
204528,Adriana Ventura,NOVO,SP,37,10,0,4.79,1.25,0.0267,95.7,ALTO
204455,Luiz Lima,NOVO,RJ,34,12,0,4.4,1.5,0.0266,95.5,ALTO
80815,Leo Prates,REPUBLICANOS,BA,41,7,0,5.3,0.88,0.0265,95.3,ALTO
220606,Reimont,PT,RJ,35,11,0,4.53,1.38,0.0264,95.1,ALTO
