cnpj_cpf_fornecedor,nome_fornecedor,is_pessoa_fisica,total_recebido,total_notas,total_deputados,total_partidos,media_por_nota,flag_pf_alto_valor,flag_monopolio,score_suspeicao
,AZUL,True,235906.59999999995,166,1,1,1421.12,True,True,2
09146749000116,AUTO LOCADORA LINCK E MELLO LTDA,False,64500.0,15,1,1,4300.0,False,True,1
89176887000187,N P IMOVEIS LTDA,False,60123.34999999999,22,1,1,2732.88,False,True,1
29143215000143,LA DE OLIVEIRA MACHADO,False,26000.0,11,1,1,2363.64,False,True,1
13347016000117,FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA,False,18730.55,11,1,1,1702.78,False,True,1
29300721000107,A Mil Internet,False,10946.800000000001,10,1,1,1094.68,False,True,1
48949641000113,BROAD BRASIL LTDA,False,8400.0,8,1,1,1050.0,False,True,1
08467115000100,CEEE - Companhia Estadual de Distribuição de Energia Elétrica,False,8139.49,11,1,1,739.95,False,True,1
00758665000169,BIRO DE INFORMATICA NACIONAL EIRELI - EPP,False,6960.0,9,1,1,773.33,False,True,1
02012862000160,Latam Linhas Aéreas S.A,False,3351.85,1,1,1,3351.85,False,True,1
02411935000196,RADIO POSITIVA FM,False,2900.0,1,1,1,2900.0,False,True,1
05662975000107,SMAFF COMBUSTIVEIS LTDA,False,2859.3,11,1,1,259.94,False,True,1
34034597000107,CAMPUS PETROPOLIS COM COMB LTDA,False,2689.79,11,1,1,244.53,False,True,1
32627270000113,ROTA POA COMERCIO DE COMBUSTIVEIS LTDA,False,1960.0700000000002,8,1,1,245.01,False,True,1
00306597003112,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,False,1850.0,13,1,1,142.31,False,True,1
92038496000100,FUNDACAO CULTURAL PLANALTO DE PASSO FUNDO - EPP,False,1500.0,1,1,1,1500.0,False,True,1
00223364000130,ABAST. DE COMBUSTIVEIS ZONA SUL LTDA,False,1267.08,5,1,1,253.42,False,True,1
73752180000131,J B EMPRESA JORNALISTICA LTDA,False,1200.0,1,1,1,1200.0,False,True,1
07659850000145,Comercial de Comb Agronomia,False,1086.59,4,1,1,271.65,False,True,1
13039240000141,CECCON E ROSA LTDA,False,1027.93,4,1,1,256.98,False,True,1
07768802000195,POSTO DE COMBUSTIVEL DORAL LTDA,False,898.98,3,1,1,299.66,False,True,1
87091997002750,
